Country Name,region,Image URL,1995,1995.1,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,1,,619,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,"1,072,000","1,225,000","1,102,000","1,070,500"
Afghanistan,2,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,3,,9,9,21,45,52,45,51,67,91,107,194,210,121,195,294,366,425,481,528,650,595,592,397,261
Albania,4,https://www.countryflags.io/al/flat/64.png,304,304,287,119,184,371,317,354,470,557,645,748,937,"1,062,000","1,247,000","1,711,000","2,191,000","2,469,000","3,156,000","2,857,000","3,341,000","3,784,000","4,070,000","4,643,000"
Andorra,5,,,,,,,"2,347,000","2,949,000","3,516,000","3,387,000","3,138,000","2,791,000","2,418,000","2,227,000","2,189,000","2,059,000","1,830,000","1,808,000","2,242,000","2,238,000","2,328,000","2,363,000","2,663,000","2,831,000",
United Arab Emirates,6,,"2,315,000","2,315,000","2,572,000","2,476,000","2,991,000","3,393,000","3,907,000","4,134,000","5,445,000","5,871,000","6,195,000","7,126,000",,,,,,,,,,,,
Argentina,7,,"2,289,000","2,289,000","2,614,000","2,764,000","3,012,000","2,898,000","2,909,000","2,620,000","2,820,000","2,995,000","3,457,000","3,823,000","4,173,000","4,562,000","4,700,000","4,308,000","5,325,000","5,705,000","5,587,000","5,246,000","5,931,000","5,736,000","6,655,000","6,720,000"
Armenia,8,,12,12,13,23,32,41,45,123,162,206,263,319,382,511,558,575,684,758,963,"1,084,000","1,204,000","1,192,000","1,260,000","1,495,000"
American Samoa,9,,34,34,35,26,36,41,44,36,,,,"24,5","25,3","24,1","24,3","23,5","23,1","22,6","22,6","20,8","21,6","20,3","20,1",20
Antigua and Barbuda,10,,220,220,228,240,234,232,207,215,218,239,246,245,254,262,266,234,230,241,247,243,249,250,265,247
Australia,11,https://www.countryflags.io/au/flat/64.png,"3,726,000","3,726,000","4,165,000","4,318,000","4,167,000","4,459,000","4,931,000","4,856,000","4,841,000","4,746,000","5,215,000","5,499,000","5,532,000","5,644,000","5,586,000","5,490,000","5,790,000","5,771,000","6,032,000","6,482,000","6,922,000","7,450,000","8,269,000","8,815,000"
Austria,12,https://www.countryflags.io/at/flat/64.png,"17,173,000","17,173,000","17,090,000","16,647,000","17,352,000","17,467,000","17,982,000","18,180,000","18,611,000","19,078,000","19,374,000","19,952,000","20,269,000","20,773,000","21,935,000","21,355,000","22,004,000","23,012,000","24,151,000","24,813,000","25,291,000","26,728,000","28,121,000","29,460,000"
Azerbaijan,13,,,,,,,,,,576,768,989,693,682,732,"1,043,000","1,005,000","1,280,000","1,562,000","1,986,000","2,130,000","2,160,000","1,922,000","2,044,000","2,454,000"
Burundi,14,,34,34,27,11,15,26,29,36,74,74,133,148,214,192,202,212,142,144,147,234,235,131,187,299
Belgium,15,https://www.countryflags.io/be/flat/64.png,"5,560,000","5,560,000","5,829,000","6,037,000","6,179,000","6,369,000","6,457,000","6,452,000","6,720,000","6,690,000","6,710,000","6,747,000","6,995,000","7,045,000","7,165,000","6,815,000","7,186,000","7,494,000","7,560,000","7,684,000","7,887,000","8,355,000","7,481,000","8,385,000"
Benin,16,,138,138,143,148,152,80,96,88,72,175,174,176,180,186,188,190,199,209,220,231,242,255,267,281
Burkina Faso,17,,124,124,131,138,160,117,126,128,150,163,222,245,264,289,272,269,274,238,237,218,191,163,152,143
Bangladesh,18,,156,156,166,182,172,173,199,207,207,245,271,208,200,289,467,267,303,155,125,148,125,,,
Bulgaria,19,,"3,466,000","3,466,000","2,795,000","2,980,000","2,667,000","2,472,000","2,785,000","3,186,000","3,433,000","4,048,000","4,630,000","4,837,000","5,158,000","5,151,000","5,780,000","5,739,000","6,047,000","6,328,000","6,541,000","6,898,000","7,311,000","7,099,000","8,252,000","8,883,000"
Bahrain,20,https://www.countryflags.io/bh/flat/64.png,"2,311,000","2,311,000","1,988,000","2,600,000","2,898,000","3,280,000","3,869,000","4,388,000","4,831,000","4,844,000","5,667,000","6,313,000","7,289,000","7,833,000","8,631,000","8,861,000","11,952,000","6,732,000","8,062,000","9,163,000","10,452,000","9,670,000","10,158,000","11,370,000"
"Bahamas, The",21,,"1,598,000","1,598,000","1,633,000","1,618,000","1,528,000","1,577,000","1,544,000","1,538,000","1,513,000","1,510,000","1,561,000","1,608,000","1,601,000","1,528,000","1,463,000","1,327,000","1,370,000","1,346,000","1,422,000","1,366,000","1,427,000","1,484,000","1,499,000","1,439,000"
Bosnia and Herzegovina,22,,,,,115,148,147,171,139,160,165,190,217,256,306,322,311,365,392,439,529,536,678,778,923
Belarus,23,,"160,6","160,6",234,"253,5",355,"74,9",60,61,63,64,67,91,89,105,"90,5",95,"119,3",116,"6,129,900","6,241,800","5,374,900","4,385,600","10,935,400","11,060,200"
Belize,24,,131,131,133,146,176,181,196,196,200,221,231,237,247,251,245,232,242,250,277,294,321,341,386,427
Bermuda,25,,387,387,390,380,370,355,332,278,284,257,272,270,299,306,264,236,232,236,232,236,224,220,244,270
Bolivia,26,,284,284,313,355,387,342,319,316,334,427,480,524,521,573,594,599,679,711,798,798,871,882,959,"1,134,000"
Brazil,27,https://www.countryflags.io/br/flat/64.png,"1,991,000","1,991,000","2,666,000","2,850,000","4,818,000","5,107,000","5,313,000","4,773,000","3,785,000","4,133,000","4,794,000","5,358,000","5,017,000","5,026,000","5,050,000","4,802,000","5,161,000","5,433,000","5,677,000","5,813,000","6,430,000","6,306,000","6,547,000","6,589,000"
Barbados,28,,442,442,447,472,512,515,545,507,498,531,552,548,563,575,568,519,532,568,536,509,521,592,632,664
Brunei Darussalam,29,,,,,,,,,,,,119,126,158,179,226,157,214,242,209,225,201,218,219,259
Bhutan,30,,"4,8","4,8","5,2","5,4","6,2","7,2","7,6","6,4","5,6","6,3","9,2","13,6","17,3",21,28,23,41,66,105,116,133,155,210,255
Botswana,31,,521,521,512,607,750,843,"1,104,000","1,193,000","1,274,000","1,406,000","1,523,000","1,474,000","1,426,000","1,736,000","2,101,000","1,721,000","1,973,000",,"1,614,000","1,544,000","1,966,000","1,528,000","1,574,000",
Canada,32,https://www.countryflags.io/ca/flat/64.png,"16,932,000","16,932,000","17,286,000","17,669,000","18,870,000","19,411,000","19,627,000","19,679,000","20,057,000","17,534,000","19,145,000","18,771,000","18,265,000","17,935,000","17,142,000","15,737,000","16,219,000","16,014,000","16,344,000","16,059,000","16,537,000","17,971,000","19,971,000","20,798,000"
Switzerland,33,https://www.countryflags.io/ch/flat/64.png,"6,946,000","6,946,000","6,730,000","7,039,000","7,185,000","7,154,000","7,821,000","7,455,000","6,868,000","6,530,000",,"7,229,000","7,863,000","8,448,000","8,608,000","8,294,000","8,628,000","8,534,000","8,566,000","8,967,000","9,158,000","9,305,000","9,205,000","9,889,000"
Channel Islands,34,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,35,,"1,540,000","1,540,000","1,450,000","1,644,000","1,759,000","1,632,000","1,742,000","1,723,000","1,412,000","1,614,000","1,785,000","2,027,000","2,253,000","2,507,000","2,710,000","2,760,000","2,801,000","3,137,000","3,554,000","3,576,000","3,674,000","4,478,000","5,641,000","6,450,000"
China,36,https://www.countryflags.io/cn/flat/64.png,"20,034,000","20,034,000","22,765,000","23,770,000","25,073,000","27,047,000","31,229,000","33,167,000","36,803,000","32,970,000","41,761,000","46,809,000","49,913,000","54,720,000","53,049,000","50,875,000","55,664,000","57,581,000","57,725,000","55,686,000","55,622,000","56,886,000","59,270,000","60,740,000"
Cote d'Ivoire,37,,,,,,,,,,,,,,,182,205,231,252,270,289,380,471,"1,441,000","1,583,000","1,800,000"
Cameroon,38,,,,,,,,,,,,190,176,451,477,487,498,573,604,817,783,822,897,994,
"Congo, Dem. Rep.",39,,35,35,37,30,53,80,103,55,28,35,36,61,55,47,50,53,81,186,167,191,334,354,351,
"Congo, Rep.",40,,37,37,39,27,20,14,19,27,22,23,31,35,46,55,62,94,101,168,204,231,273,363,224,206
Colombia,41,,"1,399,000","1,399,000",631,639,674,546,557,616,567,625,791,933,"2,045,000","2,254,000","2,317,000","2,364,000","1,405,000","2,042,000","2,175,000","2,288,000","2,552,000","2,978,000","3,317,000","4,113,000"
Comoros,42,,23,23,24,26,27,24,24,"19,4","18,9","20,6","23,3","25,9","28,5","15,2","14,8","11,3","15,3","18,8","22,8","21,9","22,8","23,6","26,8",28
Cabo Verde,43,,28,28,37,45,52,67,115,134,126,150,157,198,242,267,285,287,336,428,482,503,494,520,598,668
Costa Rica,44,,785,785,781,811,943,"1,032,000","1,088,000","1,131,000","1,113,000","1,239,000","1,453,000","1,679,000","1,725,000","1,980,000","2,089,000","1,923,000","2,100,000","2,192,000","2,343,000","2,428,000","2,527,000","2,660,000","2,925,000","2,960,000"
Cuba,46,,742,742,999,"1,153,000","1,390,000","1,561,000","1,741,000","1,736,000","1,656,000","1,847,000","2,017,000","2,261,000","2,150,000","2,119,000","2,316,000","2,405,000","2,507,000","2,688,000","2,823,000","2,839,000","2,981,000","3,506,000","3,975,000","4,594,000"
Curacao,47,,224,224,214,205,199,198,191,205,218,221,223,222,234,300,409,367,342,390,421,441,452,468,441,399
Cayman Islands,48,,361,361,373,381,404,395,354,334,303,294,260,168,267,292,303,272,288,309,322,345,383,385,385,418
Cyprus,49,,"2,100,000","2,100,000","1,950,000","2,088,000","2,223,000","2,434,000","2,686,000","2,697,000","2,418,000","2,303,000","2,349,000","2,470,000","2,401,000","2,416,000","2,404,000","2,141,000","2,173,000","2,392,000","2,465,000","2,405,000","2,441,000","2,659,000","3,187,000","3,652,000"
Czech Republic,50,,"3,381,000","3,381,000","4,558,000","4,976,000","5,482,000","5,610,000","4,773,000","5,405,000","4,743,000","5,076,000","6,061,000","6,336,000","6,435,000","6,680,000","6,649,000","6,032,000","6,334,000","6,715,000","7,647,000","7,852,000","8,096,000","8,707,000","9,321,000","10,160,000"
Germany,51,https://www.countryflags.io/de/flat/64.png,"14,847,000","14,847,000","15,205,000","15,837,000","16,511,000","17,116,000","18,983,000","17,861,000","17,969,000","18,399,000","20,137,000","21,500,000","23,569,000","24,421,000","24,884,000","24,220,000","26,875,000","28,374,000","30,411,000","31,545,000","32,999,000","34,970,000","35,555,000","37,452,000"
Djibouti,52,,21,21,20,20,21,21,"20,1","21,6","22,5","23,2","26,3","30,2","39,5",40,54,58,51,56,60,63,,,,
Dominica,53,,60,60,63,65,66,74,70,66,69,73,80,79,84,81,81,75,77,76,79,78,"81,5",75,78,72
Denmark,54,https://www.countryflags.io/de/flat/64.png,,,"2,125,000","2,158,000","2,073,000","2,023,000","3,535,000","3,684,000","3,436,000","3,474,000","4,421,000","9,587,000","9,630,000","9,832,000","9,564,000","9,265,000","9,425,000","8,471,000","8,443,000","8,557,000","10,267,000","10,424,000","10,781,000","11,743,000"
Dominican Republic,55,,"1,776,000","1,776,000","1,926,000","2,211,000","2,309,000","2,649,000","2,978,000","2,882,000","2,811,000","3,282,000","3,450,000","3,691,000","3,965,000","3,980,000","3,980,000","3,992,000","4,125,000","4,306,000","4,563,000","4,690,000","5,141,400","5,600,000","5,959,300","6,188,000"
Algeria,56,,520,520,605,635,678,749,866,901,988,"1,166,000","1,234,000","1,443,000","1,638,000","1,743,000","1,772,000","1,912,000","2,070,000","2,395,000","2,634,000","2,733,000","2,301,000","1,710,000","2,039,000","2,451,000"
Ecuador,57,,440,440,494,529,511,518,627,641,683,761,819,860,841,937,"1,005,000",968,"1,047,000","1,141,000","1,272,000","1,364,000","1,557,000","1,544,000","1,418,000","1,608,000"
Egypt,58,https://www.countryflags.io/eg/flat/64.png,"2,871,000","2,871,000","3,528,000","3,656,000","3,213,000","4,490,000","5,116,000","4,357,000","4,906,000","5,746,000","7,795,000","8,244,000","8,646,000","10,610,000","12,296,000","11,914,000","14,051,000","9,497,000","11,196,000","9,174,000","9,628,300","9,139,000","5,258,000","8,157,000"
Eritrea,59,,315,315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,
Spain,60,https://www.countryflags.io/es/flat/64.png,"32,971,000","32,971,000","34,027,000","39,553,000","41,892,000","45,440,000","46,403,000","48,565,000","50,331,000","50,854,000","52,430,000","55,914,000","58,004,000","58,666,000","57,192,000","52,178,000","52,677,000","56,177,000","57,464,000","60,675,000","64,939,000","68,175,000","75,315,000","81,786,000"
Estonia,61,,530,530,665,730,825,950,"1,220,000","1,320,000","1,362,000","1,462,000","1,750,000","1,917,000","1,940,000","1,900,000","2,222,000","2,180,000","2,511,000","2,823,000","2,957,000","3,111,000","3,160,000","2,961,000","3,131,000","3,245,000"
Ethiopia,62,,103,103,109,139,112,115,136,148,156,180,184,227,330,358,383,427,468,523,597,681,770,864,871,933
Finland,63,,"1,779,000","1,779,000","1,724,000","1,832,000","1,867,000","1,831,000","1,971,000","1,999,000","2,043,000","2,047,000","2,083,000","2,080,000","2,317,000","2,472,000","2,494,000","2,220,000","2,319,000","2,623,000","2,778,000","2,797,000","2,731,000","2,622,000","2,789,000","3,180,000"
Fiji,64,,318,318,340,359,371,410,294,348,398,431,504,545,549,540,585,542,632,675,661,659,693,755,792,843
France,65,https://www.countryflags.io/fr/flat/64.png,"60,033,000","60,033,000","62,406,000","66,591,000","70,109,000","73,147,000","77,190,000","75,202,000","77,012,000","75,048,000","74,433,000","74,988,000","77,916,000","80,853,000","79,218,000","76,764,000","76,647,000","80,499,000","81,980,000","83,634,000","83,701,000","84,452,000","82,682,000","86,861,000"
Faroe Islands,66,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",67,,,,"17,6","17,2","13,4","16,1","20,5","15,3","19,1","18,2","19,3",19,"19,1","21,1","25,7","47,5","44,7","35,4","38,3","42,1","35,4","31,2","29,6",
Gabon,68,,125,125,145,167,195,178,155,169,208,222,244,269,,,,,,,,,,,,
United Kingdom,69,https://www.countryflags.io/gb/flat/64.png,"21,719,000","21,719,000","22,936,000","23,215,000","23,710,000","23,341,000","23,212,000","20,982,000","22,307,000","22,787,000","25,678,000","28,039,000","30,654,000","30,870,000","30,142,000","28,199,000","28,295,000","29,306,000","29,282,000","31,063,000","32,613,000","34,436,000","35,814,000","37,651,000"
Georgia,70,,85,85,117,313,317,384,387,302,298,313,368,560,983,"1,052,000","1,290,000","1,500,000","2,032,000","2,712,000","4,106,000","4,954,000","5,004,000","5,256,000","5,393,000","6,483,000"
Ghana,71,,286,286,305,325,348,373,399,439,483,531,584,429,497,587,698,803,931,821,903,994,825,897,,
Gibraltar,72,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,73,,,,12,17,23,27,33,38,43,44,45,45,"46,1",30,24,,"12,4",131,96,56,33,35,60,
"Gambia, The",74,,45,45,77,85,91,96,79,57,81,89,90,108,125,143,147,142,91,106,157,171,156,135,161,162
Guinea-Bissau,75,,,,,,,,,"7,8",,,,5,"11,6","15,6",18,16,"22,3","36,7","35,4","35,5","36,1","43,8",,
Equatorial Guinea,76,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,77,https://www.countryflags.io/gr/flat/64.png,"10,130,000","10,130,000","9,233,000","10,070,000","10,916,000","12,164,000","13,096,000","14,057,000","14,180,000","13,969,000","13,313,000","14,765,000","16,039,000","16,165,000","15,939,000","14,915,000","15,007,000","16,427,000","15,518,000","17,920,000","22,033,000","23,599,000","24,799,000","27,194,000"
Grenada,78,,108,108,108,111,116,125,129,123,132,142,134,99,119,130,130,114,110,118,125,128,150,155,156,168
Greenland,79,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,80,,563,563,520,576,636,823,826,835,884,880,"1,182,000","1,316,000","1,502,000","1,628,000","1,715,000","1,393,000","1,384,000","1,434,000","1,491,000","1,516,000","1,739,000","1,865,000","1,906,000","2,113,000"
Guam,81,,"1,362,000","1,362,000","1,373,000","1,382,000","1,137,000","1,162,000","1,287,000","1,159,000","1,059,000",910,"1,160,000","1,228,000","1,212,000","1,225,000","1,142,000","1,053,000","1,197,000","1,160,000","1,308,000","1,334,000","1,343,000","1,409,000","1,536,000","1,544,000"
Guyana,82,,106,106,92,76,66,75,105,99,104,101,122,117,113,134,130,141,152,157,177,200,206,207,235,247
Honduras,84,,271,271,263,307,321,371,471,518,550,611,641,673,739,804,869,836,863,871,895,863,868,880,838,851
Croatia,85,https://www.countryflags.io/hr/flat/64.png,"1,485,000","1,485,000","2,914,000","4,178,000","4,499,000","3,805,000","5,831,000","6,544,000","6,944,000","7,409,000","7,912,000","7,743,000","7,988,000","8,559,000","8,665,000","8,694,000","9,111,000","9,927,000","10,369,000","10,948,000","11,623,000","12,683,000","13,809,000","15,593,000"
Haiti,86,,145,145,150,149,147,143,140,142,140,136,96,112,108,386,258,387,255,349,349,420,"465,2",516,445,467
Hungary,87,https://www.countryflags.io/hu/flat/64.png,"2,878,000","2,878,000","2,979,000","2,887,000","2,871,000","2,789,000","2,992,000","3,070,000","3,013,000","2,948,000","3,270,000","3,446,000","3,310,000","3,451,000","3,516,000","3,228,000","3,462,000","3,822,000","4,164,000","4,388,000","4,618,000","4,929,000","5,302,000","5,650,000"
Indonesia,88,https://www.countryflags.io/id/flat/64.png,"4,324,000","4,324,000","5,034,000","5,185,000","4,606,000","4,728,000","5,064,000","5,153,000","5,033,000","4,467,000","5,321,000","5,002,000","4,871,000","5,506,000","6,234,000","6,324,000","7,003,000","7,650,000","8,044,000","8,802,000","9,435,000","10,407,000","11,519,000","14,040,000"
Isle of Man,90,,,,,,,,,,,,,,,,,,,,,,,,,
India,91,https://www.countryflags.io/in/flat/64.png,"2,124,000","2,124,000","2,288,000","2,374,000","2,359,000","2,482,000","2,649,000","2,537,000","2,384,000","2,726,000","3,457,000","3,919,000","4,447,000","5,082,000","5,283,000","5,168,000","5,776,000","6,309,000","6,578,000","6,968,000","13,107,000","13,284,000","14,570,000","15,543,000"
Not classified,92,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,93,https://www.countryflags.io/ie/flat/64.png,"4,818,000","4,818,000","5,289,000","5,587,000","6,064,000","6,403,000","6,646,000","6,353,000","6,476,000","6,764,000","6,953,000","7,333,000","8,001,000","8,332,000","8,026,000","7,189,000","7,134,000","7,630,000","7,550,000","8,260,000","8,813,000","9,528,000","10,100,000","10,338,000"
