Country Name,region,Image URL,1995,1995.1,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Monaco,124,,233,233,226,259,278,278,300,270,263,235,250,286,313,328,324,265,279,295,292,328,329,331,336,355
Moldova,125,,,,,,,,,,,,69,67,63,70,73,60,64,75,89,"95,6","93,9","94,4",121,145
Madagascar,126,,75,75,83,101,121,138,160,170,62,139,229,277,312,344,375,163,196,225,256,196,222,244,293,255
Maldives,127,,315,315,339,366,396,430,467,461,485,564,617,395,602,676,683,656,792,931,958,"1,125,000","1,205,000","1,234,000","1,286,000","1,390,000"
Mexico,128,https://www.countryflags.io/mx/flat/64.png,"20,241,000","20,241,000","21,395,000","19,351,000","19,392,000","19,043,000","20,641,000","19,810,000","19,667,000","18,665,000","20,618,000","21,915,000","21,353,000","21,606,000","22,931,000","22,346,000","23,290,000","23,403,000","23,403,000","24,151,000","29,346,000","32,093,000","35,079,000","39,291,000"
Marshall Islands,129,,"5,5","5,5","6,2","6,4","6,4","4,6","5,2","5,4",6,"7,2",9,"9,2","5,8","7,2",6,"5,4","4,6","4,6","4,6",,"4,9","6,3","5,4",6
North Macedonia,130,,147,147,136,121,157,181,224,99,123,158,165,197,202,230,255,259,262,327,351,400,425,486,510,631
Mali,131,,42,42,98,75,83,82,86,89,96,110,113,143,153,164,190,160,169,160,134,142,168,"159,3","173,2","193,3"
Malta,132,,"1,116,000","1,116,000","1,054,000","1,111,000","1,182,000","1,214,000","1,216,000","1,180,000","1,134,000","1,127,000","1,156,000","1,171,000","1,124,000","1,244,000","1,291,000","1,182,000","1,339,000","1,415,000","1,443,000","1,582,000","1,690,000","1,783,000","1,966,000","2,274,000"
Myanmar,133,,194,194,490,491,478,435,416,475,487,597,657,660,630,716,731,763,792,816,"1,059,000","2,044,000","3,081,000","4,681,000","2,907,000","3,443,000"
Montenegro,134,,,,,,,,,,136,142,188,272,378,984,"1,031,000","1,044,000","1,088,000","1,201,000","1,264,000","1,324,000","1,350,000","1,560,000","1,662,000","1,877,000"
Mongolia,135,,108,108,71,82,165,155,154,187,229,201,301,339,404,452,446,412,456,460,476,418,393,386,404,469
Northern Mariana Islands,136,,669,669,728,685,481,493,517,438,466,452,525,498,429,385,388,345,375,336,399,436,455,"475,1",526,656
